id_establecimiento,codigo_localidad,demanda_total,M_t,s_j,delta_j
111001041475,08,2655.0,118926.74641148325,0.02232466690725544,-0.8063307989446198
111001041556,05,1117.0,67218.94736842105,0.016617338469729712,-1.1015763690334581
111001041611,18,2084.0,56001.05263157895,0.037213586210785514,-0.29534909010585775
111001044385,19,3156.0,100641.05263157895,0.03135897248167013,-0.4665225757355973
111001044806,01,1496.0,30556.84210526316,0.04895793861311103,-0.021061471600831716
111001045225,11,4238.0,96130.62656641605,0.04408584601362181,-0.12588422656355291
111001045535,16,1270.0,20686.315789473687,0.061393242418074485,0.20527676533053807
111001045705,05,1601.0,67218.94736842105,0.023817689248019042,-0.7415944551059441
111001045730,19,2528.0,100641.05263157895,0.025118974155152757,-0.6883995024346143
111001046299,10,1683.0,68328.42105263159,0.02463103894503327,-0.7080156120889822
111001046477,07,3963.0,115661.05263157895,0.0342639108829793,-0.37793036601212826
111001046485,05,1436.0,67218.94736842105,0.021363024209965862,-0.8503614184944897
111001046591,07,1887.0,115661.05263157895,0.016314912903401955,-1.119943413834013
111001046621,04,1094.0,51416.84210526316,0.021277074888424844,-0.8543928086536661
111001046931,05,1368.0,67218.94736842105,0.020351404679131824,-0.898873069920163
111001046957,01,2958.0,30556.84210526316,0.0968031968031968,0.6606570131354905
111001047571,19,2734.0,100641.05263157895,0.02716585258709954,-0.6100622404174674
111001065056,16,1426.0,20686.315789473687,0.06893445959698757,0.32113318685214276
111001065234,05,1176.0,67218.94736842105,0.017495067180306304,-1.0501040396440868
111001075272,11,3124.0,96130.62656641605,0.03249744760418937,-0.4308614544322209
111001075329,19,3176.0,100641.05263157895,0.03155769854302419,-0.4602054353343359
111001075515,11,2481.0,96130.62656641605,0.02580863236427459,-0.6613139816999962
111001075663,19,2112.0,100641.05263157895,0.02098547207898838,-0.8681926128752102
111001075736,06,1142.0,33714.73684210527,0.03387242811202348,-0.38942165200286594
111001075752,19,997.0,100641.05263157895,0.009906494158499722,-1.6188324877395242
111001075957,06,2351.0,33714.73684210527,0.0697321177682725,0.3326380063212482
111001076376,18,4075.0,56001.05263157895,0.07276648935170392,0.3752325326958479
111001076767,08,3545.0,118926.74641148325,0.029808265230214893,-0.5172372936544312
111001076937,19,3792.0,100641.05263157895,0.03767846123272914,-0.28293439432644973
111001077895,05,2638.0,67218.94736842105,0.039244887093238125,-0.24220183482539914
111001077917,05,1325.0,67218.94736842105,0.01971170409345736,-0.9308104296823365
111001078638,05,1388.0,67218.94736842105,0.02064893983525948,-0.8843590270359094
111001079154,08,2036.0,118926.74641148325,0.017119782230949936,-1.0717883549502454
111001083011,05,3061.0,67218.94736842105,0.045537755645338095,-0.09348122915724666
111001086584,19,2272.0,100641.05263157895,0.022575280569820833,-0.7951674778603204
111001086606,07,1142.0,115661.05263157895,0.00987367807932434,-1.622150568986608
111001086614,05,2234.0,67218.94736842105,0.033234676939459425,-0.40842918847351317
111001086631,06,1203.0,33714.73684210527,0.035681725935870615,-0.3373843262441425
111001086649,08,2065.0,118926.74641148325,0.017363629816754232,-1.057645227225526
111001086665,11,3637.0,96130.62656641605,0.03783393627926912,-0.27881652040480853
111001086681,01,3139.0,30556.84210526316,0.10272658376106651,0.720047926706699
111001086720,15,1293.0,12265.12585812357,0.10542085054460378,0.7459374341185563
111001086771,08,3099.0,118926.74641148325,0.02605805753129364,-0.6516959748329105
111001086789,04,820.0,51416.84210526316,0.015948081726241656,-1.1426844513772934
111001086801,19,5167.0,100641.05263157895,0.051340877950820527,0.026464270585822458
111001086835,19,5603.0,100641.05263157895,0.05567310608833896,0.10747418986392221
111001092410,19,2705.0,100641.05263157895,0.02687769979813616,-0.6207260664207803
111001092983,11,2397.0,96130.62656641605,0.02493482135315042,-0.6957577309574132
111001093084,11,3667.0,96130.62656641605,0.0381460116403849,-0.2706017973204715
111001094439,05,2201.0,67218.94736842105,0.03274374393184879,-0.4233110865761973
111001094889,11,2853.0,96130.62656641605,0.029678366842110202,-0.5216046141782975
111001094897,13,1428.0,3373.684210526316,0.4232761310452418,2.1360017527111994
111001094901,03,435.0,10369.473684210527,0.04195005583189524,-0.1755432416005549
111001096555,19,2091.0,100641.05263157895,0.02077680971456662,-0.8781855582727287
111001098612,01,1387.0,30556.84210526316,0.04539081608047125,-0.09671320982042264
111001098817,04,1223.0,51416.84210526316,0.023785980428284812,-0.7429266559484202
111001098825,04,1283.0,51416.84210526316,0.024952913237522006,-0.6950324270199562
111001098833,05,1927.0,67218.94736842105,0.02866751229289987,-0.5562584996882927
111001098841,05,1172.0,67218.94736842105,0.01743556014908077,-1.0535111979657015
111001098850,05,1236.0,67218.94736842105,0.01838767264868928,-1.0003425300850228
111001098876,07,1144.0,115661.05263157895,0.009890969984892336,-1.6204007872628199
111001098884,07,1086.0,115661.05263157895,0.009389504723420521,-1.6724304587086825
111001098892,08,1714.0,118926.74641148325,0.01441223317477809,-1.2439456334629333
111001098906,08,2003.0,118926.74641148325,0.01684230049537953,-1.0881293969548405
111001098922,10,1328.0,68328.42105263159,0.019435543505052992,-0.9449194762434092
111001098931,10,1203.0,68328.42105263159,0.017606143702243036,-1.0437750903051097
111001098949,11,1660.0,96130.62656641605,0.01726816998173955,-1.0631580840412087
111001098965,18,1225.0,56001.05263157895,0.021874588823518355,-0.826697370000288
111001098973,19,982.0,100641.05263157895,0.009757449612484181,-1.6339919493468966
111001100013,19,1259.0,100641.05263157895,0.012509805562237864,-1.3855102236570151
111001100021,19,1174.0,100641.05263157895,0.011665219801483124,-1.4554112573133202
111001100030,03,1503.0,10369.473684210527,0.14494467566744493,1.0643291170637357
111001100048,08,2632.0,118926.74641148325,0.02213127054610031,-0.815031440175451
111001100056,07,1726.0,115661.05263157895,0.014922914505178471,-1.20912508755919
111001100064,07,1444.0,115661.05263157895,0.012484755820091373,-1.3875146397497917
111001100072,07,1635.0,115661.05263157895,0.014136132801834763,-1.263288875871209
111001100081,05,1364.0,67218.94736842105,0.02029189764790629,-0.9018013296992518
111001102008,05,1770.0,67218.94736842105,0.026331861317297756,-0.6412433425347843
111001102016,04,757.0,51416.84210526316,0.014722802276542603,-1.2226255381981432
111001102091,18,1650.0,56001.05263157895,0.029463731884739008,-0.5288629260844893
111001102199,09,1964.0,29136.84210526316,0.06740606936416184,0.2987120583492455
111001104035,10,459.0,68328.42105263159,0.006717556075918165,-2.007298596219243
111001104043,11,1576.0,96130.62656641605,0.01639435897061538,-1.1150856949739727
111001104051,07,1432.0,115661.05263157895,0.012381004386683412,-1.3958596116819728
111001104183,07,3564.0,115661.05263157895,0.030814175722164584,-0.48404817061186334
111001104256,11,2521.0,96130.62656641605,0.02622473284576229,-0.6453200382038777
111001104264,11,3682.0,96130.62656641605,0.038302049320942784,-0.26651960359877425
111001104272,09,2340.0,29136.84210526316,0.0803106936416185,0.4738797777865815
111001104299,07,3410.0,115661.05263157895,0.029482698993429077,-0.5282193889250006
111001104302,07,3657.0,115661.05263157895,0.031618249331076285,-0.45828854105318184
111001104337,05,1828.0,67218.94736842105,0.027194713270067963,-0.6090004160885636
111001104345,05,2927.0,67218.94736842105,0.043544270099282786,-0.13824488141077307
111001104353,05,2436.0,67218.94736842105,0.036239782016348775,-0.3218655392728711
111001104388,11,2831.0,96130.62656641605,0.029449511577291965,-0.5293456802798979
111001104558,08,2982.0,118926.74641148325,0.025074258650634926,-0.6901812372959752
111001106950,07,3493.0,115661.05263157895,0.03020031307450081,-0.5041707143957312
111001106968,07,3764.0,115661.05263157895,0.03254336627896394,-0.429449458497293
111001106984,08,3701.0,118926.74641148325,0.031119997071093176,-0.47417240023450313
111001107069,11,2254.0,96130.62656641605,0.023447262131831893,-0.7572692707920758
111001107077,11,3237.0,96130.62656641605,0.03367293146439212,-0.39532871146555326
111001107743,01,2492.0,30556.84210526316,0.08155292982879189,0.4892292497720896
111001107778,08,2754.0,118926.74641148325,0.02315711211396666,-0.7697210533320589
